T,OTU,Replicate,fit_start,fit_end
30,12,R4,74.2,265.8
30,12,R5,74.2,260.8
30,13,R1,115.3,368.2
30,13,R2,122.3,399.4
30,13,R3,143.4,398.4
30,13,R4,96.3,372.2
30,13,R5,115.3,399.4
30,14,R1,211.6,442.6
30,14,R2,126.4,355.2
30,14,R3,119.3,359.2
30,14,R4,61.1,335.1
30,14,R5,130.4,385.3
30,15,R1,149.4,338.1
30,15,R2,149.4,342.1
30,15,R3,134.4,339.1
30,15,R4,147.4,360.2
30,15,R5,111.3,356.2
30,16,R1,37.1,284.8
30,16,R2,61.2,268.8
30,16,R3,65.2,248.7
30,16,R4,58.2,281.8
30,16,R5,63.2,252.7
30,17,R1,79.2,329
30,17,R2,84.2,323.9
30,17,R3,76.2,266.8
30,17,R4,68.2,327
30,17,R5,73.2,260.7
30,18,R1,89.3,385.1
30,18,R2,89.3,339
30,18,R3,101.3,389.1
30,18,R4,100.3,290.8
30,18,R5,95.3,319.9
32,1,R1,45.1,326
32,1,R2,78.2,255.8
32,1,R3,70.2,252.8
32,1,R4,69.2,233.7
32,1,R5,52.1,240.7
32,2,R1,45.1,247.8
32,2,R2,56.1,238.7
32,2,R3,89.2,222.7
32,2,R4,84.2,224.7
32,2,R5,79.2,217.7
32,3,R1,75.2,287.9
32,3,R2,86.2,275.9
32,3,R3,88.2,254.8
32,3,R4,94.2,297.9
32,3,R5,86.2,247.8
32,4,R1,34.1,322
32,4,R2,78.2,299
32,4,R3,63.2,270.9
32,4,R4,70.2,288
32,4,R5,68.2,268.9
32,5,R1,75.2,360.2
32,5,R2,47.1,261.8
32,5,R3,75.2,326.1
32,5,R4,58.2,315
32,5,R5,58.2,264.9
32,6,R1,76.2,392.2
32,6,R2,57.2,451.4
32,6,R3,58.2,352.1
32,6,R4,79.2,387.2
32,6,R5,44.1,327.1
32,7,R1,61.2,255.8
32,7,R2,67.2,286
32,7,R3,77.3,288
32,7,R4,77.3,292
32,7,R5,70.2,255.8
32,8,R1,102.3,307
32,8,R2,68.2,266.9
32,8,R3,83.3,277
32,8,R4,84.3,300
32,8,R5,89.3,270.9
32,9,R1,79.3,281
32,9,R2,92.3,304
32,9,R3,79.3,317
32,9,R4,92.3,306
32,9,R5,89.3,297
32,10,R1,45.1,291.9
32,10,R2,91.3,281.9
32,10,R3,79.2,275.9
32,10,R4,69.2,227.7
32,10,R5,74.2,296.9
32,11,R1,74.2,326
32,11,R2,91.3,312
32,11,R3,88.3,287.9
32,11,R4,91.3,296.9
32,11,R5,97.3,249.8
32,12,R1,73.2,251.8
32,12,R2,79.2,272.9
32,12,R3,78.2,283.9
32,12,R4,88.3,306.9
32,12,R5,91.3,247.8
32,13,R1,78.2,463.6
32,13,R2,150.5,388.3
32,13,R3,127.4,358.2
32,13,R4,69.2,491.7
32,13,R5,62.2,329.1
32,14,R1,146.5,399.4
32,14,R2,218.8,449.6
32,14,R3,179.6,407.4
32,14,R4,153.5,403.4
32,14,R5,132.4,394.4
