T,OTU,Replicate,group,otu_label,r,K,delta_Ninoc_to_N0_min,cell_carbon_fg,N_inoculation_cells_per_L,N0_cells_per_L,CUE,growth_fgC_h,respiration_fgC_h,B_bp,B_free
32,12,R4,Clade4,Clade4_2079,0.01278506553730688,0.00507694331517508,88.3,1300,42000000,129877396.97020562,0.531114433320355,997.235111909937,880.392475191296,0.12841479726053795,0.3970995143013179
32,12,R5,Clade4,Clade4_2079,0.01699560859510105,0.00402783631829484,91.3,1300,42000000,198218247.3539481,0.74336910039494275,1325.6574704178825,457.6524219539921,0.05021584224865251,0.2369927676173865
32,16,R1,para,para_2051,0.00904286488793366,0.00680966938272458,42.1,3800,14000000,20486414.136520516,0.21593587843701575,2061.7731944488764,7486.307510676997,0.5146145638816922,0.7530433625975168
32,16,R2,para,para_2051,0.01333684210241005,0.00582250700763551,70.2,3800,14000000,35705460.961786926,0.4529395338307006,3040.799999349493,3672.678891822062,0.1711789672318168,0.4365731379981882
32,16,R3,para,para_2051,0.0138881714252053,0.00717621058303725,70.2,3800,14000000,37114471.60103828,0.4210094898200853,3166.503084946809,4354.7123781535265,0.1949103313304797,0.5167138540652891
32,16,R4,para,para_2051,0.01400894240312899,0.0099449942444922,73.2,3800,14000000,39037078.04262888,0.35760708928159657,3194.0388679134117,5737.660093452189,0.2545950286615626,0.7099032859376251
32,16,R5,para,para_2051,0.01406277809289622,0.0073333734375165,64.2,3800,14000000,34532043.26192113,0.40133151213486024,3206.313405180339,4782.875851662555,0.21141628479998548,0.5214740209276955
32,17,R1,para,para_2052,0.00992585513203013,0.00464241493083602,64.2,3800,14000000,26477550.66092947,0.364311779267415,2263.0949701028712,3948.8781224325103,0.24730121493751384,0.467709317644102
32,17,R2,para,para_2052,0.01039547442101014,0.0066509885038395,76.2,3800,14000000,30913484.506117366,0.32847154908016435,2370.168167990313,4845.580576848063,0.2897490082108385,0.6397965339991877
32,17,R3,para,para_2052,0.01619664332469446,0.00435854482796979,92.2,3800,14000000,62326571.528636985,0.7010179402176939,3692.8346780303377,1574.982971377559,0.06044651911081456,0.2691017355012361
32,17,R4,para,para_2052,0.01383616591977934,0.00878199072209507,83.2,3800,14000000,44266418.14396917,0.4138445501457088,3154.6458297096906,4468.13385555857,0.20073858857175564,0.6347127356676802
32,17,R5,para,para_2052,0.01639416541634857,0.00523172793098946,97.2,3800,14000000,68894076.92606644,0.686078778799322,3737.8697149274735,1710.294301264609,0.06484880659988045,0.3191213336039835
32,18,R1,para,para_2053,0.01216958682962428,0.00610963661770609,72.2,3800,14000000,33706864.086641856,0.4046493787372242,2774.665797154336,4082.2971513942152,0.2085207280513992,0.5020414171197229
32,18,R2,para,para_2053,0.00876901161159573,0.00799958612352045,70.2,3800,14000000,25910335.54121365,0.22331917345750177,1999.3346474438267,6953.477672651498,0.4929148152971855,0.9122563041132449
32,18,R3,para,para_2053,0.00789018729716586,0.00635037292683681,60.1,3800,14000000,22494201.97887633,0.2205369916273283,1798.9627037538176,6358.229840133661,0.5009211428080375,0.8048443829866817
32,18,R4,para,para_2053,0.0079695764147767,0.01069513726514774,85.2,3800,14000000,27606886.159999773,0.172359524060297,1817.0634225690876,8725.222723065774,0.6805526587092856,1.3419956982051733
32,18,R5,para,para_2053,0.01453040374040168,0.00716312761721314,76.2,3800,14000000,42362947.25295678,0.46522298107625226,3312.9320528115845,3808.238197951628,0.16291717677613496,0.49297512616914535
34,1,R1,Clade1,Clade1_2068,0.01373887557747408,0.00517556965268098,63.2,1300,42000000,100079668.59774582,0.4791885512258847,1071.632295042978,1164.7155732470164,0.15809218395553043,0.3767098423372227
34,1,R2,Clade1,Clade1_2068,0.01216870671442578,0.00873240780041834,78.2,1300,42000000,108772928.37208442,0.3442409586042649,949.1591237252112,1808.093027714306,0.2770882147592382,0.7176118223036989
34,1,R3,Clade1,Clade1_2068,0.01168804841659154,0.01190028965212551,76.2,1300,42000000,102339826.4571636,0.2582206210596106,911.6677764941404,2618.9091880918163,0.41784974789769663,1.0181588258338052
34,1,R4,Clade1,Clade1_2068,0.01413113479591379,0.01016815064727992,74.2,1300,42000000,119845069.3837097,0.3658132446687466,1102.2285140812755,1910.8622641910424,0.2521703678922522,0.7195565532514897
34,1,R5,Clade1,Clade1_2068,0.01407443872267371,0.01080669189610762,64.2,1300,42000000,103673712.17234486,0.31862516501897953,1097.80622036855,2347.641097966011,0.31105868110899376,0.7678240041429291
34,2,R1,Clade1,Clade1_2069,0.01572217915135812,0.00612808858838274,66.2,1300,42000000,118923196.60939646,0.5137782307344605,1226.3299738059336,1160.5558466634552,0.13765595706788322,0.38977348682948837
