T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,6,R5,0.003063692631702032,0.013253334595873047,8.753094607315518,242.8,72.2,55501110.626275636,238.9680252727585,5378.127226953298,0.042542989666777574,22.50563530754667
42,7,R1,0.008063280585428583,0.009696553102421365,9.136970764845474,202.63000000000002,70.2,79295684.12957735,628.9358856634294,2754.072781384754,0.18591022003269128,4.378940436002687
42,7,R2,0.014943825848497634,0.006395898066976522,9.257009844263175,172.51999999999998,71.2,138510139.89510548,1165.6184161828155,1039.9861342480121,0.5284802372914635,0.8922183450513541
42,7,R3,0.012299628515896083,0.006924646771281743,8.829844304580872,192.60000000000002,74.2,116502854.24617435,959.3710242398945,1338.6549327279695,0.417476147878564,1.3953464289674373
42,7,R4,0.012868573449115135,0.006086900250245145,8.496999715675674,198.62,76.2,125414422.98999412,1003.7487290309805,1093.0909122349624,0.47869599051693745,1.0890085144020385
42,7,R5,0.01228816145606554,0.006624785726658511,8.928081991939111,195.6,68.2,107845858.5755856,958.476593573112,1383.4897533721667,0.409261471593429,1.4434257055925017
42,8,R1,0.00899400929739949,0.008892619035961143,9.290484179851399,212.66,69.2,98986790.20807631,701.5327251971602,2023.2988224665742,0.25745911735301696,2.8841118165912247
42,8,R2,0.011179155444634438,0.008839998842475763,8.950877328035283,191.58,69.2,121909192.1257578,871.9741246814863,1633.1397073638852,0.34807764562520427,1.8729222130994274
42,8,R3,0.010829569412566614,0.01018017134059518,9.030650535113626,188.57,69.2,117913770.16806829,844.7064141801958,1944.4561119106997,0.30285306298162556,2.301931273716955
42,8,R4,0.010568055212872641,0.012455339649605629,8.991512869439028,154.47,94.3,153131284.99644783,824.308306604066,1831.8893227845635,0.3103339516170696,2.222335148279006
42,8,R5,0.010570068462904878,0.00909275218247243,8.83944211350976,197.60999999999999,65.2,109722027.69492704,824.4653401065805,1866.418855224037,0.30639198131872114,2.2637929873228644
42,9,R1,0.006040609739010094,0.00910397779922335,9.272380248823367,250.83,70.2,72989597.91037235,471.16755964278735,2809.168578812119,0.14363392645020678,5.962143448377201
42,9,R2,0.010021217145821394,0.007358453944027879,8.99691374943832,219.72000000000003,68.2,102789623.51745886,781.6549373740687,1612.2963986127668,0.32651245897271114,2.0626702673038784
42,9,R3,0.009389986124874204,0.009686291881425358,9.42563736210796,199.62,69.2,98154319.65544088,732.4189177401879,2222.5713810079264,0.24785831549107898,3.034563044692331
42,9,R4,0.012770342571915014,0.008022405114436068,9.134033322695863,186.55999999999997,69.2,133237215.8299391,996.0867206093711,1356.0840986445714,0.4234755029081213,1.3614116829255252
42,9,R5,0.0076838259682053345,0.012889615332947319,9.284632286340868,183.55,77.2,89891127.59641077,599.3384255200161,3229.4659644498156,0.1565340937996413,5.3883846370233455
42,10,R1,0.009916359905120919,0.006569785481099208,8.353131353841402,208.65000000000003,70.2,91412187.286227,773.4760725994316,1618.6564106015926,0.3233416535376867,2.092703921870203
42,10,R2,0.012538463819129484,0.010119300853604914,8.391973583592272,147.43,94.3,153209134.31702542,978.0001778920998,1487.5563719074491,0.39666507668283324,1.5210185085176613
