Group,Isolate,T,CUE,lo,hi
Clade4,Clade4_2078,39.563025210084035,0.5208983210686502,0.49109367076357874,0.5508062346875313
Clade4,Clade4_2078,39.747899159663866,0.5166114661808097,0.4865561671882497,0.5467455031919491
Clade4,Clade4_2078,39.9327731092437,0.5122020108493994,0.4819739835939499,0.5424228971303287
Clade4,Clade4_2078,40.11764705882353,0.507653104060996,0.47718909803796716,0.538166539773325
Clade4,Clade4_2078,40.30252100840336,0.5029861837209151,0.4720286971498067,0.533888582197327
Clade4,Clade4_2078,40.4873949579832,0.4982544998305203,0.46681752987241476,0.5291516737432734
Clade4,Clade4_2078,40.67226890756302,0.4933669414685886,0.4617793979829512,0.5245666076129222
Clade4,Clade4_2078,40.85714285714286,0.4883501916982733,0.4565668794049634,0.5200449413039193
Clade4,Clade4_2078,41.042016806722685,0.4833063534136315,0.4512693065395366,0.515244000312254
Clade4,Clade4_2078,41.226890756302524,0.47817819798539857,0.4458409686798421,0.5104850222993405
Clade4,Clade4_2078,41.411764705882355,0.47289474063288855,0.4401200077840977,0.5056940375229204
Clade4,Clade4_2078,41.596638655462186,0.4674844234549165,0.4342972620195834,0.50079596396307835
Clade4,Clade4_2078,41.78151260504202,0.46198554751314286,0.42840622226883457,0.4958442085979548
Clade4,Clade4_2078,41.96638655462185,0.45641832161070045,0.4224242620673473,0.49096028251973695
Clade4,Clade4_2078,42.15126050420168,0.4507887601411641,0.4162320825615727,0.48581630101745765
Clade4,Clade4_2078,42.33613445378151,0.4451373330918463,0.4103408644608676,0.48062561484045857
Clade4,Clade4_2078,42.52100840336135,0.43937017339991546,0.40427148611201336,0.4753247179255901
Clade4,Clade4_2078,42.705882352941174,0.4335058110724004,0.3981040508656258,0.4700758663767371
Clade4,Clade4_2078,42.89075630252101,0.42766302477188567,0.39170127715759706,0.4647010282481465
Clade4,Clade4_2078,43.07563025210084,0.42170020115704343,0.3852089763326785,0.45944637661005827
Clade4,Clade4_2078,43.260504201680675,0.4157744276656349,0.3787289975286403,0.45390635320992295
Clade4,Clade4_2078,43.445378151260506,0.40971937995633645,0.37210103568280284,0.4484062825251895
Clade4,Clade4_2078,43.63025210084034,0.4036880318874862,0.3656069887360533,0.4429587933407946
Clade4,Clade4_2078,43.81512605042017,0.3975785460503973,0.35918610630727454,0.43742744654984445
Clade4,Clade4_2078,44,0.3915089280699042,0.35256875636898405,0.4319224361012944
Clade4,Clade4_2079,22,0.3342101070753856,0.3029418520359208,0.3689389054327977
