"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_002385",1.31234607665002,8.20610480964466,0.00290958112179079,0.00657733545587898,FALSE
"CJI97_000079",0.303170348605408,7.22907773572055,0.00291666660903972,0.00659059171791387,FALSE
"CJI97_004997",0.571416751453299,5.34961086754895,0.00293460355044371,0.00662834690589964,FALSE
"CJI97_002404",0.63294828540804,8.0376948901259,0.00295062737772108,0.00666175118417696,FALSE
"CJI97_005351",0.440910756211791,3.9655427432629,0.00295956857463014,0.00667914346662662,FALSE
"CJI97_001942",0.416875776483954,6.43328357151787,0.00297574826458718,0.00671285018215402,FALSE
"CJI97_002739",-0.366727220356536,5.63957127041209,0.00298462211286996,0.00673005471000681,FALSE
"CJI97_003400",-0.476373651731007,3.00791980364394,0.00299771158935959,0.00675674675696923,FALSE
"CJI97_001930",0.305670786293003,5.19406847897545,0.00301380417038434,0.0067901825901436,FALSE
"CJI97_002084",0.557394212681924,4.76991786311275,0.00302470854434232,0.00681190622089781,FALSE
"CJI97_000452",0.411595428222938,2.61850481849424,0.0030282331545537,0.00681699879097695,FALSE
"CJI97_002348",-0.758300068123179,8.25955570704264,0.00304024135882705,0.00684041373786166,FALSE
"CJI97_005571",-0.948522633060003,6.66194185509877,0.00304116985862308,0.00684041373786166,FALSE
"CJI97_001598",0.318226212704829,6.73979152068119,0.00304315484755156,0.00684202648224509,FALSE
"CJI97_001830",-0.45907901795604,5.88305676039102,0.0030479855545705,0.00685003334130048,FALSE
"CJI97_004425",0.420254327486416,5.7687910175186,0.00305948892520255,0.00687259852955233,FALSE
"CJI97_004573",0.316971165390658,7.75792003604639,0.00306057343708566,0.00687259852955233,FALSE
"CJI97_003612",0.545830826054809,6.82989643429869,0.00306540758571632,0.00688059040454462,FALSE
"CJI97_000443",0.305000300452775,5.73416175773848,0.00308525207304761,0.00692225371566109,FALSE
"CJI97_002390",0.496316752404202,6.60263745727946,0.00309315847437637,0.00693710853189314,FALSE
"CJI97_001688",-0.349406615016685,6.80699319770791,0.00309794200165071,0.00694495016240433,FALSE
"CJI97_002753",0.327500263938224,3.71422227985359,0.00310697136476334,0.00696229961971055,FALSE
"CJI97_002671",0.335652131721787,7.01638909498768,0.00312189126298807,0.00699282908056606,TRUE
"CJI97_001893",0.472112481171965,9.40642724540953,0.00312558372744025,0.0069981949349658,TRUE
"CJI97_003547",0.34084146879011,7.3672363689894,0.00314309183331327,0.0070344767866273,FALSE
"CJI97_004277",0.536168075322584,6.91111155963775,0.00315014785831993,0.00704734570625801,FALSE
"CJI97_002037",-0.471175899608767,8.79398485261363,0.00315219332949143,0.00704899925650052,FALSE
"CJI97_001546",-1.10747051666323,4.56207147216136,0.00317543433115758,0.00709802968141105,FALSE
"CJI97_001029",0.738000218167263,5.04995430136544,0.00322945166107804,0.00721578516073587,FALSE
"CJI97_004729",0.713978096839176,7.11015713428987,0.00324966685037737,0.00725794798205145,FALSE
"CJI97_003279",-0.640565648563136,5.98651443717007,0.00325889142958777,0.00727553916179379,FALSE
"CJI97_002801",-0.503288110793121,2.06973713804899,0.00326134599976674,0.00727800786383017,FALSE
"CJI97_002663",-0.34363226140811,4.59869654095024,0.00326648743111209,0.00728519840720861,FALSE
"CJI97_002257",-0.622767285589626,6.24672668922889,0.00326726837387784,0.00728519840720861,FALSE
"CJI97_003028",0.574273412128851,6.83829373020134,0.00333270413195961,0.00742803448825033,FALSE
"CJI97_002522",1.06281367863122,7.11307025684337,0.0033431452921325,0.0074482295608369,TRUE
"CJI97_005007",0.448465738984319,5.39235683033798,0.00335352947670299,0.00746828107977273,FALSE
"CJI97_000990",0.388787904225681,7.15749948795469,0.00336880097092101,0.00749919556068059,FALSE
"CJI97_004028",0.28865016042552,4.93479946103616,0.0033740688490524,0.00750782495236568,FALSE
"CJI97_003532",0.767221570971836,4.77976487158362,0.00338474583451568,0.00752847836893925,FALSE
"CJI97_005165",1.78079083204698,6.80257295933802,0.00339149167655528,0.00753860391221257,FALSE
"CJI97_004891",0.621369964161906,9.83711434581079,0.00339209234596963,0.00753860391221257,TRUE
"CJI97_001799",-0.623433590117914,4.01593610982814,0.00340046905469649,0.00755410910627513,FALSE
