param,relative,n,rid,mu40,mu34
Topt,duobushaemulonii,21,R00771__cyto,0.2293,0.4387
Topt,duobushaemulonii,22,R12404__cyto,0.2286,0.4383
Topt,duobushaemulonii,23,R04427__cyto,0.2279,0.4381
Topt,duobushaemulonii,24,R08639__cyto,0.2273,0.4379
Topt,duobushaemulonii,25,R07505__cyto,0.2268,0.4374
Topt,duobushaemulonii,26,R03663__cyto,0.2262,0.4369
Topt,duobushaemulonii,27,R03654__cyto,0.2258,0.4364
Topt,duobushaemulonii,28,R04560__cyto,0.2253,0.4361
Topt,duobushaemulonii,29,R07495__cyto,0.2249,0.4357
Topt,duobushaemulonii,30,R01127__cyto,0.2245,0.4354
Topt,duobushaemulonii,31,R00858__cyto,0.2241,0.435
Topt,duobushaemulonii,32,R03665__cyto,0.2237,0.4347
Topt,duobushaemulonii,33,R00965__cyto,0.2233,0.4344
Topt,duobushaemulonii,34,R05639__cyto,0.2229,0.4341
Topt,duobushaemulonii,35,R02082__cyto,0.2226,0.4338
Topt,duobushaemulonii,36,R12405__cyto,0.2222,0.4335
Topt,duobushaemulonii,37,R03646__cyto,0.2219,0.4334
Topt,duobushaemulonii,38,R04534__cyto,0.2215,0.4331
Topt,duobushaemulonii,39,R04964__cyto,0.2212,0.4328
Topt,duobushaemulonii,40,R04533__cyto,0.2209,0.4325
Topt,duobushaemulonii,41,R04566__cyto,0.2205,0.4322
Topt,duobushaemulonii,42,R04536__cyto,0.2202,0.4319
Topt,duobushaemulonii,43,R04953__cyto,0.2198,0.4317
Topt,duobushaemulonii,44,R04543__cyto,0.2195,0.4314
Topt,duobushaemulonii,45,R04537__cyto,0.2192,0.4311
Topt,duobushaemulonii,46,R04535__cyto,0.2189,0.4308
Topt,duobushaemulonii,47,R04954__cyto,0.2185,0.4305
Topt,duobushaemulonii,48,R04965__cyto,0.2182,0.4303
Topt,duobushaemulonii,49,R04568__cyto,0.2179,0.43
Topt,duobushaemulonii,50,R04428__cyto,0.2176,0.4297
Topt,duobushaemulonii,51,R04544__cyto,0.2173,0.4294
Topt,duobushaemulonii,52,R07494__cyto,0.217,0.4292
Topt,duobushaemulonii,53,R04355__cyto,0.2167,0.429
Topt,duobushaemulonii,54,R04952__cyto,0.2164,0.4288
Topt,duobushaemulonii,55,R04957__cyto,0.2162,0.4285
Topt,duobushaemulonii,56,R04960__cyto,0.2159,0.4283
Topt,duobushaemulonii,57,R04963__cyto,0.2156,0.4281
Topt,duobushaemulonii,58,R04726__cyto,0.2154,0.4278
Topt,duobushaemulonii,59,R04968__cyto,0.2151,0.4276
Topt,duobushaemulonii,60,R00127__cyto,0.2149,0.4274
Topt,parapsilosis,1,T00485__cyto,0.5144,0.6498
Topt,parapsilosis,2,R03118__cyto,0.4691,0.6321
Topt,parapsilosis,3,R01626__cyto,0.436,0.6169
Topt,parapsilosis,4,R07761__cyto,0.4169,0.6071
Topt,parapsilosis,5,R07759__cyto,0.4024,0.599
Topt,parapsilosis,6,T02161__mito,0.3924,0.5915
Topt,parapsilosis,7,TR1000027_CYTMEM__plas,0.386,0.5836
Topt,parapsilosis,8,R00742__cyto,0.3809,0.5808
Topt,parapsilosis,9,R01624__cyto,0.3763,0.5782
Topt,parapsilosis,10,R07505__cyto,0.3721,0.5756
Topt,parapsilosis,11,R00768__cyto,0.3687,0.5742
Topt,parapsilosis,12,R07758__cyto,0.3655,0.5723
Topt,parapsilosis,13,R02222__cyto,0.3623,0.5703
Topt,parapsilosis,14,R00289__cyto,0.3594,0.5685
Topt,parapsilosis,15,R05640__cyto,0.3566,0.5667
Topt,parapsilosis,16,R01123__cyto,0.3541,0.5655
Topt,parapsilosis,17,R04560__cyto,0.352,0.5642
Topt,parapsilosis,18,R00004__cyto,0.35,0.5629
Topt,parapsilosis,19,R11043__cyto,0.348,0.5616
Topt,parapsilosis,20,R07495__cyto,0.3462,0.5605
Topt,parapsilosis,21,R01127__cyto,0.3444,0.5594
Topt,parapsilosis,22,R07760__cyto,0.3428,0.5583
Topt,parapsilosis,23,R03658__cyto,0.3412,0.5573
Topt,parapsilosis,24,R12405__cyto,0.3397,0.5564
Topt,parapsilosis,25,R00489__cyto,0.3383,0.556
Topt,parapsilosis,26,R03665__cyto,0.3369,0.555
Topt,parapsilosis,27,R04535__cyto,0.3358,0.5543
Topt,parapsilosis,28,R04965__cyto,0.3347,0.5536
Topt,parapsilosis,29,R04963__cyto,0.3336,0.5529
Topt,parapsilosis,30,R04957__cyto,0.3325,0.5521
Topt,parapsilosis,31,R04537__cyto,0.3314,0.5514
Topt,parapsilosis,32,R04355__cyto,0.3303,0.5507
Topt,parapsilosis,33,R04726__cyto,0.3293,0.55
Topt,parapsilosis,34,R04952__cyto,0.3282,0.5493
Topt,parapsilosis,35,R04960__cyto,0.3271,0.5485
Topt,parapsilosis,36,R04428__cyto,0.3261,0.5478
Topt,parapsilosis,37,R04568__cyto,0.325,0.5471
Topt,parapsilosis,38,R04954__cyto,0.324,0.5464
Topt,parapsilosis,39,R04968__cyto,0.323,0.5457
Topt,parapsilosis,40,R04544__cyto,0.3219,0.545
Topt,parapsilosis,41,R04427__cyto,0.3209,0.5448
Topt,parapsilosis,42,R00575__cyto,0.32,0.5443
Topt,parapsilosis,43,R00261__cyto,0.3191,0.544
Topt,parapsilosis,44,R11100__cyto,0.3185,0.543
Topt,parapsilosis,45,TR2900096_CYTMEM__plas,0.3178,0.5419
Topt,parapsilosis,46,R01648__cyto,0.3174,0.5419
Topt,parapsilosis,47,R04725__cyto,0.3171,0.5415
Topt,parapsilosis,48,R04962__cyto,0.3167,0.5411
Topt,parapsilosis,49,R04430__cyto,0.3163,0.5407
Topt,parapsilosis,50,R00908__cyto,0.316,0.5406
Topt,parapsilosis,51,R00127__cyto,0.3156,0.54
Topt,parapsilosis,52,R04405__cyto,0.3153,0.54
Topt,parapsilosis,53,R06223__cyto,0.3151,0.5397
Topt,parapsilosis,54,R00945__cyto,0.3148,0.5397
Topt,parapsilosis,55,R00299__cyto,0.3146,0.5397
Topt,parapsilosis,56,R07396__cyto,0.3145,0.5399
Topt,parapsilosis,57,R00355__cyto,0.3143,0.5404
Topt,parapsilosis,58,R03245__cyto,0.3141,0.541
Topt,parapsilosis,59,R00224__cyto,0.314,0.5399
Topt,parapsilosis,60,R10700__cyto,0.314,0.5398
