T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
30,6,R3,92.2,396.2,0,1,42000000
30,6,R4,85.2,377.2,0,1,42000000
30,6,R5,66.2,426.4,0,1,42000000
30,7,R1,71.2,319,0,1,42000000
30,7,R2,73.2,277.9,0,1,42000000
30,7,R3,70.2,294.9,0,1,42000000
30,7,R4,80.2,256.8,0,1,42000000
30,7,R5,77.2,304,0,1,42000000
30,8,R1,67.2,330.1,0,1,42000000
30,8,R2,83.2,295.9,0,1,42000000
30,8,R3,84.2,305,0,1,42000000
30,8,R4,67.2,321,0,1,42000000
30,8,R5,92.3,337.1,0,1,42000000
30,9,R1,81.2,362.2,0,1,42000000
30,9,R2,86.3,344.1,0,1,42000000
30,9,R3,90.3,320,0,1,42000000
30,9,R4,84.2,316,0,1,42000000
30,9,R5,89.3,313,0,1,42000000
30,10,R1,79.2,354.1,0,1,42000000
30,10,R2,76.2,308,0,1,42000000
30,10,R3,69.2,278.9,0,1,42000000
30,10,R4,78.2,309,0,1,42000000
30,10,R5,73.2,319,0,1,42000000
30,11,R1,82.2,339.1,0,1,42000000
30,11,R2,91.3,340.1,0,1,42000000
30,11,R3,96.3,338.1,0,1,42000000
30,11,R4,83.3,319,0,1,42000000
30,11,R5,83.3,308,0,1,42000000
30,12,R1,69.2,303,0,1,42000000
30,12,R2,72.2,263.8,0,1,42000000
30,12,R3,85.3,290.9,0,1,42000000
30,12,R4,74.2,265.8,0,1,42000000
30,12,R5,74.2,260.8,0,1,42000000
30,13,R1,115.3,368.2,0,1,69000000
30,13,R2,122.3,399.4,0,1,69000000
30,13,R3,143.4,398.4,0,1,69000000
30,13,R4,96.3,372.2,0,1,69000000
30,13,R5,115.3,399.4,0,1,69000000
30,14,R1,211.6,442.6,0,1,69000000
30,14,R2,126.4,355.2,0,1,69000000
30,14,R3,119.3,359.2,0,1,69000000
30,14,R4,61.1,335.1,0,1,69000000
30,14,R5,130.4,385.3,0,1,69000000
30,15,R1,149.4,338.1,0,1,69000000
30,15,R2,149.4,342.1,0,1,69000000
30,15,R3,134.4,339.1,0,1,69000000
30,15,R4,147.4,360.2,0,1,69000000
30,15,R5,111.3,356.2,0,1,69000000
30,16,R1,37.1,284.8,0,1,14000000
30,16,R2,61.2,268.8,0,1,14000000
30,16,R3,65.2,248.7,0,1,14000000
