clade,dTopt,dCp_scale,kcat_scale
I,-0.6055239640142518,1.1002128335542665,0.6019072156852905
I,-0.34238188225568605,0.9783941713688423,0.6132319973250573
I,-1.0827074574068223,1.1607623198272712,0.6183362925369161
I,0.11207030832304488,0.8655441054952444,0.5907602825057603
I,-0.4766504021473427,0.8724451336825437,0.5996853053219845
I,-1.0140141159315008,1.0543649233523502,0.5951918214473125
I,-0.016641152815458082,0.9314914538845267,0.5942867428803313
I,-0.0970276521280764,1.0035267908558594,0.6095934569482833
I,-0.19532496913112196,0.8446714167288756,0.5922817587489381
I,0.025209810260583554,0.9417506359133768,0.596882124777952
I,-0.40968417221712716,0.8876945784777719,0.5913417900525514
I,-0.5674398662419087,0.9195570441758922,0.5735432902979134
I,-0.5125709415940081,0.9724879377636111,0.6071903638977332
I,-0.7457440857257894,0.9205173077268094,0.6044894853740119
I,-0.7770268697182454,1.0994844893300448,0.6230625241868665
I,-0.5389882638518197,1.0196783052898604,0.6168244763044962
I,-0.8807028797133694,1.066794448416697,0.6152078307549304
I,0.17317712023101206,0.9118027957480497,0.610910088110951
I,-0.19707183960374747,0.9238937018677548,0.5923246072562106
I,-0.3093845808364879,0.9660005521624697,0.5750399646796795
I,-0.6318668664134022,1.0219133570243897,0.581909726677756
I,-0.9127021102397498,1.1470144305180336,0.6130389329813699
I,0.5473624290625073,0.6989684329764407,0.5715695937913647
I,0.009507034324793051,0.9682202322570254,0.6174473927702341
I,-0.2329897067236048,0.8932423633818594,0.6027541520254194
I,-0.528490792374616,0.8895494807942085,0.5699300124105423
I,-0.5724822200788933,0.8373800128247041,0.5732906314888798
I,-1.032903985885709,0.9045452133415923,0.5625633544124765
I,-0.7032221858702848,1.143394509014064,0.605110358036894
I,0.005357003702014874,0.9418846398839226,0.6197629648364544
I,-0.7226795612420303,0.9078288220944997,0.5905738921844679
I,-0.38682036678353504,0.8298551631623008,0.5844289418851799
I,-0.8388959027371742,1.0656693890355005,0.6283698397581399
I,-0.8205079484110035,0.866563731981772,0.5634131287918077
I,-0.8655887187383133,1.0433911929617032,0.6120293372332447
I,-0.58883338037535,0.8941470146978668,0.569664940492959
I,-0.14509514026711318,0.9339462739241606,0.5776465591639666
I,-0.808118798956243,1.0253011404001848,0.6024583526355544
I,-0.33495286947625597,0.914755873679388,0.5912431864076327
I,0.018606795828379763,0.9445219510445513,0.6061690464647209
I,-0.24083334613411406,1.0189223734797415,0.6062031435130464
I,-0.22742196362921302,0.8335428716211462,0.5990563647193707
I,-0.27783330878078016,0.94946184044478,0.6142573255170857
I,-0.14485725349723694,0.8855226993409119,0.5988857555879842
I,-0.6414231735681408,0.886548541415965,0.5633841030307611
I,-0.5148700039783675,1.021005496124039,0.5872289271811864
I,-0.19975344577394089,0.9720972871417652,0.5940761105515804
I,-0.6076114229019446,1.0236741782290049,0.5849620339453027
I,-0.30115641011988614,0.9899459524629659,0.6159885857199363
I,-0.6411599128992996,1.140702842359789,0.6231268301128214
I,-0.6161033586068754,1.054664473118441,0.6077125556602445
I,-0.29210071408295213,0.990433438293972,0.6041275928537875
I,-1.0355591488151854,1.2219240996631335,0.6296641621930144
I,-0.7831204789963704,1.1310267027616714,0.6143935372854022
I,-0.6556098703986799,0.9880739018802793,0.5932737780746795
I,-0.632641364730516,0.911563911601761,0.5733726177261511
I,-0.703389081505105,0.9091376170309349,0.5940559594009492
I,-1.4636673884125169,1.0030997485726065,0.5705655632602269
I,-0.41325778906437516,1.0009589292125212,0.604337281079511
I,-1.06835611812509,1.1281300065556656,0.6010489317807294
I,-0.4536449266379491,1.0088443941524785,0.6092565286417215
I,0.9359417037320374,0.7795993864018107,0.5981431840384878
I,-0.5103793509631409,1.1246793198043803,0.6251874565588019
I,-0.8079949995293509,1.059696854047481,0.611263042792164
I,-0.0022703165563912053,0.9206167371568094,0.6019363363126852
I,-0.9393434537542811,0.96126508320396,0.6055081187316491
I,-0.12009716560799066,0.9060865579308697,0.6061378958340778
I,-0.16356517318300356,0.9995986757129633,0.6112967436815576
I,-0.6910548639977143,0.9794517517819863,0.5983705958962151
I,-0.9755841550329624,0.9831061589094966,0.5878767896870266
I,-0.33713884623858775,0.9651555009358831,0.6042612229000494
I,-0.35866417684918356,1.0252753515743094,0.6166049263089145
I,-0.5439992605278303,1.0832739731497525,0.6004114217154909
I,-0.36796891926478864,0.8961919935223277,0.5906176180757143
I,-0.00920413146449045,0.9319532955989351,0.6041875948309036
I,-1.161778784039043,1.0420346255823842,0.59225011362965
I,-0.19461896129476286,0.9560939945018961,0.5864700912208127
I,0.39234995883344315,0.8131944505021432,0.5692601796728787
I,-0.25593901483369297,0.904330373490462,0.5873535019857257
I,-0.570134472526912,0.9152772021066394,0.6203026551149989
I,-0.47319269517654305,0.8629900774346004,0.5641116390115697
I,0.5762965211651714,0.8002508863681954,0.5905952367451909
I,0.11676427887905105,0.9237142076596516,0.5909194106109418
I,-0.690915380685215,0.9043632417693234,0.5686196624412638
I,-0.6070353359332061,0.8909527166317918,0.5865402157849541
I,-0.4196094039456986,0.9510155839979769,0.6043022904520583
I,-0.7313967397680335,0.9471864811131634,0.5850044059750096
I,-0.21629976998088782,0.818214419517902,0.5648808634308502
I,0.052028788233307394,0.885563103412356,0.5798172375271603
I,-0.5903119423050758,1.0130620081632917,0.5901015639871594
I,-0.4551405360245187,0.9011666823075973,0.601520448905167
I,-0.45311406282342886,0.9886366358685774,0.6122714746357051
I,-0.36335391268050987,0.8360079963489497,0.5938276165968498
I,-0.2008293065311767,0.9141709297482665,0.5847477542687954
I,-0.14908298457989178,0.9555524321857828,0.6088820793372912
I,-1.2039858021126302,1.0665036458694206,0.5874281207336274
I,-0.5684806807495209,0.9096754983265448,0.5776301681487738
