T,OTU,Replicate,n_pts,drawdown
30.0,9,R1,305,7.44
30.0,9,R2,302,7.58
30.0,9,R3,295,7.609999999999999
30.0,9,R4,279,7.6499999999999995
30.0,9,R5,259,7.46
30.0,10,R1,309,6.87
30.0,10,R2,288,6.65
30.0,10,R3,281,6.970000000000001
30.0,10,R4,275,6.78
30.0,10,R5,262,6.449999999999999
30.0,11,R1,292,6.98
30.0,11,R2,296,7.290000000000001
30.0,11,R3,285,6.8
30.0,11,R4,275,7.049999999999997
30.0,11,R5,285,7.220000000000001
30.0,12,R1,255,7.03
30.0,12,R2,250,7.129999999999997
30.0,12,R3,258,6.729999999999998
30.0,12,R4,252,6.91
30.0,12,R5,252,6.94
30.0,13,R1,486,7.720000000000001
30.0,13,R2,497,7.699999999999999
30.0,13,R3,491,7.57
30.0,13,R4,509,7.869999999999999
30.0,13,R5,504,7.389999999999999
30.0,14,R1,492,8.09
30.0,14,R2,486,5.539999999999999
30.0,14,R3,520,7.390000000000001
30.0,14,R4,561,6.390000000000001
30.0,14,R5,487,7.609999999999999
30.0,15,R1,413,7.4
30.0,15,R2,407,6.86
30.0,15,R3,440,7.57
30.0,15,R4,471,7.44
30.0,15,R5,462,7.779999999999999
30.0,16,R1,278,6.5600000000000005
30.0,16,R2,237,7.020000000000001
30.0,16,R3,222,7.09
30.0,16,R4,248,7.38
30.0,16,R5,210,6.9
30.0,17,R1,280,7.470000000000001
30.0,17,R2,270,7.08
30.0,17,R3,224,7.27
30.0,17,R4,278,7.4099999999999975
30.0,17,R5,243,7.19
30.0,18,R1,310,7.28
30.0,18,R2,327,7.86
30.0,18,R3,308,7.34
30.0,18,R4,276,6.569999999999999
30.0,18,R5,291,7.28
30.0,19,R1,255,7.52
30.0,19,R2,253,7.459999999999999
30.0,19,R3,281,7.49
30.0,19,R4,273,7.369999999999999
30.0,19,R5,265,7.78
30.0,20,R1,314,7.88
30.0,20,R2,311,7.549999999999999
30.0,20,R3,303,7.550000000000001
30.0,20,R4,321,7.699999999999999
30.0,20,R5,315,7.51
30.0,21,R1,390,7.4399999999999995
30.0,21,R2,308,5.949999999999999
30.0,21,R3,327,7.46
30.0,21,R4,345,7.18
30.0,21,R5,359,7.9399999999999995
30.0,22,R1,283,7.0200000000000005
30.0,22,R2,289,6.239999999999999
30.0,22,R3,264,7.07
30.0,22,R4,309,6.54
30.0,22,R5,261,6.960000000000001
30.0,23,R1,333,7.15
30.0,23,R2,309,6.82
30.0,23,R3,286,6.71
30.0,23,R4,278,6.83
30.0,23,R5,279,6.839999999999999
