Group,T,CUE_med,lo95,hi95
para,26.9916,0.6321,0.4914,0.7524
para,27.1765,0.6334,0.4977,0.7501
para,27.3613,0.6385,0.4975,0.7535
para,27.5462,0.6368,0.5038,0.7555
para,27.7311,0.641,0.4968,0.7568
para,27.916,0.6421,0.5048,0.7592
para,28.1008,0.6423,0.5037,0.7593
para,28.2857,0.6464,0.5036,0.759
para,28.4706,0.6451,0.508,0.7582
para,28.6555,0.6485,0.5128,0.7634
para,28.8403,0.6499,0.5145,0.7657
para,29.0252,0.6508,0.5174,0.7688
para,29.2101,0.6522,0.5135,0.764
para,29.395,0.654,0.5187,0.7647
para,29.5798,0.6549,0.5167,0.7707
para,29.7647,0.6578,0.5222,0.7708
para,29.9496,0.6578,0.5234,0.7697
para,30.1345,0.6595,0.5206,0.7761
para,30.3193,0.6597,0.5203,0.7705
para,30.5042,0.6595,0.5226,0.7721
para,30.6891,0.6599,0.5185,0.777
para,30.8739,0.6601,0.525,0.7723
para,31.0588,0.6597,0.5232,0.7705
para,31.2437,0.6618,0.5227,0.7754
para,31.4286,0.6615,0.5197,0.7724
para,31.6134,0.6614,0.5172,0.7715
para,31.7983,0.6597,0.5205,0.7748
para,31.9832,0.662,0.5256,0.7756
para,32.1681,0.6583,0.5212,0.771
para,32.3529,0.6589,0.5137,0.7732
para,32.5378,0.6567,0.5134,0.7726
para,32.7227,0.6575,0.509,0.7774
para,32.9076,0.6546,0.5102,0.7717
para,33.0924,0.6519,0.5086,0.7681
para,33.2773,0.6506,0.5098,0.7659
para,33.4622,0.6477,0.5093,0.7623
para,33.6471,0.6493,0.4984,0.7638
para,33.8319,0.6417,0.4994,0.7575
para,34.0168,0.6402,0.4951,0.7599
para,34.2017,0.6354,0.4926,0.7534
para,34.3866,0.6351,0.481,0.7515
para,34.5714,0.6321,0.4799,0.7506
para,34.7563,0.6247,0.4785,0.751
para,34.9412,0.6209,0.4719,0.7429
para,35.1261,0.6168,0.4741,0.7443
para,35.3109,0.6115,0.4644,0.7309
para,35.4958,0.6076,0.4596,0.7343
para,35.6807,0.6035,0.4582,0.7338
para,35.8655,0.5973,0.442,0.7187
para,36.0504,0.5894,0.4355,0.7212
para,36.2353,0.5807,0.4327,0.7092
para,36.4202,0.5723,0.425,0.7129
para,36.605,0.5659,0.4064,0.6995
para,36.7899,0.5587,0.4037,0.6924
para,36.9748,0.5514,0.3934,0.682
para,37.1597,0.5398,0.3904,0.6797
para,37.3445,0.5366,0.3832,0.6748
para,37.5294,0.5267,0.3731,0.666
para,37.7143,0.5164,0.361,0.6584
para,37.8992,0.506,0.3505,0.6545
para,38.084,0.4977,0.3446,0.6401
para,38.2689,0.4858,0.334,0.6343
para,38.4538,0.476,0.3257,0.6169
para,38.6387,0.4676,0.3112,0.6108
para,38.8235,0.4552,0.307,0.6013
para,39.0084,0.4447,0.2947,0.5861
para,39.1933,0.4337,0.2794,0.5814
para,39.3782,0.4225,0.2772,0.5705
para,39.563,0.4106,0.2606,0.5608
para,39.7479,0.399,0.2506,0.5525
para,39.9328,0.3894,0.2434,0.5399
