T,OTU,Replicate,drawdown
30.0,5,R1,6.970000000000001
30.0,5,R2,6.74
30.0,5,R3,6.540000000000001
30.0,5,R4,4.819999999999999
30.0,5,R5,6.81
30.0,6,R1,7.159999999999999
30.0,6,R2,6.67
30.0,6,R3,5.1899999999999995
30.0,6,R4,5.389999999999997
30.0,6,R5,6.180000000000001
30.0,7,R1,7.359999999999999
30.0,7,R2,7.44
30.0,7,R3,7.31
30.0,7,R4,7.250000000000001
30.0,7,R5,7.370000000000001
30.0,8,R1,7.6899999999999995
30.0,8,R2,7.3500000000000005
30.0,8,R3,7.58
30.0,8,R4,6.25
30.0,8,R5,7.589999999999999
30.0,9,R1,7.44
30.0,9,R2,7.559999999999999
30.0,9,R3,7.609999999999999
30.0,9,R4,7.63
30.0,9,R5,7.46
30.0,10,R1,6.87
30.0,10,R2,6.65
30.0,10,R3,6.970000000000001
30.0,10,R4,6.7700000000000005
30.0,10,R5,6.449999999999999
30.0,11,R1,6.98
30.0,11,R2,7.290000000000001
30.0,11,R3,6.78
30.0,11,R4,7.049999999999997
30.0,11,R5,7.220000000000001
30.0,12,R1,7.03
30.0,12,R2,7.129999999999997
30.0,12,R3,6.72
30.0,12,R4,6.9
30.0,12,R5,6.930000000000001
30.0,13,R1,7.710000000000001
30.0,13,R2,7.68
30.0,13,R3,7.550000000000001
30.0,13,R4,7.869999999999999
30.0,13,R5,7.389999999999999
30.0,14,R1,8.06
30.0,14,R2,5.529999999999999
30.0,14,R3,7.359999999999999
30.0,14,R4,6.390000000000001
30.0,14,R5,7.6
30.0,15,R1,7.390000000000001
30.0,15,R2,6.8500000000000005
30.0,15,R3,7.5600000000000005
30.0,15,R4,7.319999999999999
30.0,15,R5,7.779999999999999
30.0,16,R1,6.550000000000001
30.0,16,R2,7.0
30.0,16,R3,7.09
30.0,16,R4,7.38
30.0,16,R5,6.890000000000001
30.0,17,R1,7.470000000000001
30.0,17,R2,7.07
30.0,17,R3,7.26
30.0,17,R4,7.39
30.0,17,R5,7.170000000000001
30.0,18,R1,7.28
30.0,18,R2,7.8500000000000005
30.0,18,R3,7.34
30.0,18,R4,6.569999999999999
30.0,18,R5,7.2700000000000005
30.0,19,R1,7.48
30.0,19,R2,7.4399999999999995
30.0,19,R3,7.48
